,NameSpe,Price,OldP,Discount,RatNo,oldP
69,Oukitel C15 Pro+ 6.088'' 3GB 32GB 4G Smartphone Fingerprint Face ID,"KSh 8,099","KSh 12,499",35%,4.2 out of 5(32),
70,"XIAOMI Redmi Note 9 6.53"" FHD+ 48MP 4GB+128GB 4G LTE Smartphone - Green","KSh 18,199","KSh 20,499",11%,4.5 out of 5(17),
71,"Changhong S07 5.0"" 2GB + 16GB  Dual Sim 4G LTE Smartphone- Gold","KSh 4,999","KSh 5,999",17%,,
72,"Ulefone S11, 6.1"", 1GB RAM + 16GB (Dual SIM), 3500mAh,Twilight","KSh 6,299","KSh 7,199",13%,4.2 out of 5(117),
73,"Nokia 105 (2019) (Dual SIM), 1.77"" , FM Radio, + Free Watch","KSh 1,999","KSh 2,300",13%,4.4 out of 5(18),
74,"X Tigi V18 Pro- 5.0""- 16GB+2GB- 8MP- 3200mAh- Dual SIM- Black","KSh 5,499","KSh 5,999",8%,4.2 out of 5(5),
75,"Tecno Camon 15, 4GB/64GB-48MP-5000mAh-4G-(Dual Sim)-GOLD+ Free Gifts","KSh 16,499","KSh 26,000",37%,4.6 out of 5(8),
76,"Tecno F1 - 5.0"" - 8GB+1GB RAM - 2000mAh - Dual SIM - Elegant Black","KSh 5,099","KSh 5,299",4%,4.1 out of 5(395),
77,"Tecno Pop 2 F, 16GB+8GB,  (Dual Sim,) Black","KSh 6,649","KSh 10,799",38%,3.7 out of 5(6),
78,"XIAOMI Redmi 9A 6.53"" 2GB RAM 32GB ROM 13.0MP 5000mAh Dual Sim 4G LTE Smartphone -Grey","KSh 9,999","KSh 15,000",33%,5 out of 5(4),
79,"Samsung Galaxy A60, 6.3"", 6GB RAM + 128GB (Dual SIM), Daybreak Black","KSh 23,750","KSh 30,000",21%,4 out of 5(5),
80,"Infinix Smart 5, 6.6"", 32GB + 2GB RAM (Dual SIM), 3G, 5000MAh, Ocean Wave","KSh 9,599","KSh 9,999",4%,4.8 out of 5(6),
81,"Itel It2160, 1.8"", 32 MB + 32 MB,  (Dual SIM) - Blue",KSh 999,"KSh 1,500",33%,,
82,"Huawei Y6s, 6.09"", 3 GB + 64 GB, 3020 MAh, 4G, (Dual SIM) - Starry Black + Free Headset","KSh 13,299","KSh 16,999",22%,4.6 out of 5(28),
83,"XIAOMI Redmi 9A 6.53"" 2GB RAM 32GB ROM 13.0MP 5000mAh 4G LTE Smartphone - Grey","KSh 9,699","KSh 9,999",3%,4.5 out of 5(89),
84,"Samsung Galaxy A01, 5.7-inch, 16GB + 2GB RAM (Dual SIM), 13MP + 2MP Dual Camera, Blue","KSh 10,699","KSh 20,000",47%,3.9 out of 5(18),
85,"Cubot X19, 5.93 Inches, 4 GB + 64 GB, (Dual SIM),  - Gradient","KSh 10,120","KSh 10,999",8%,4.1 out of 5(173),
86,"X Tigi S23 Mini - Big Torch -FM Radio -Bluetooth -2050 mAh- {Green},","KSh 1,240","KSh 1,999",38%,4.1 out of 5(41),
87,"Samsung Galaxy A21s,4GB RAM+64GB,6.5"",Dual SIM,Black+FREE BACK COVER+5D SCREEN PROTECTOR","KSh 19,999","KSh 39,000",49%,5 out of 5(1),
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,"Samsung Galaxy A71 - 6.7"" - 8GB RAM + 128GB - Dual SIM - Black","KSh 39,599","KSh 45,000",12%,4.6 out of 5(20),
97,"Infinix HOT 9 PLAY, 6.82', 32+2, 6000mAh, 4G,Smart Power  Dual Sim, Android 10 - Black","KSh 12,299","KSh 15,000",18%,4.3 out of 5(10),
98,"Bontel 3310 - 1,000 MAh Battery - Black",KSh 999,"KSh 1,777",44%,4.2 out of 5(30),
99,"Itel A36, 5.5"",1GB +16GB 4000mAh, Fingerprint  Deep Blue+ Free 16GB Mem Card+Ring","KSh 6,399","KSh 8,699",26%,4 out of 5(14),
100,"E&L W45, 4.5inch ,512MP + 4GB, Clear Camera +2MP Selfie,Dual Sim","KSh 2,999","KSh 4,999",40%,3.4 out of 5(5),
101,"X Tigi V7 Pro, 2.8"", 8GB +1GB, 2MP Camera, (Dual SIM) - Black","KSh 3,599","KSh 5,999",40%,3.5 out of 5(13),
102,"Tecno Pouvoir 3 Air, 6"", 16GB + 1GB (Dual SIM), Black + FREE 16GB Memory Card","KSh 9,999","KSh 14,999",33%,4.5 out of 5(24),
103,"Tecno Spark 4 2020, Android 10-6.52""-4000 MAh-32GB/2GB-13MP-Dual SIM- PURPLE+Gift","KSh 11,490","KSh 21,000",45%,4.2 out of 5(11),
104,"XIAOMI Redmi Note 8 Pro - 6.53"" - (6GB, 64GB) - Dual SIM - Mineral Grey","KSh 19,499","KSh 20,999",7%,4.7 out of 5(31),
105,"Samsung Galaxy A10S 6.2"" 4000 MAh - 32GB + 2GB- Dual Sim, 4G - BLACK + Free OTG Cable","KSh 13,999","KSh 15,000",7%,4.5 out of 5(13),
106,XIAOMI Redmi 9 6.53 Inch 3GB 32GB 13.0MP Camera 4G LTE Smartphone - Green,"KSh 13,899","KSh 13,999",1%,4.5 out of 5(24),
